SKU Code,Design No.,Stock,Category,Size,Color
BTM035-NP-XXL,BTM035,3.0,PANT,XXL,MUSTARD
BTM035-NP-XXXL,BTM035,4.0,PANT,XXXL,MUSTARD
BTM036-PP-L,BTM036,3.0,PALAZZO,L,RED
BTM036-PP-M,BTM036,10.0,PALAZZO,M,RED
BTM036-PP-S,BTM036,8.0,PALAZZO,S,RED
BTM036-PP-XL,BTM036,6.0,PALAZZO,XL,RED
BTM036-PP-XS,BTM036,33.0,PALAZZO,XS,RED
BTM036-PP-XXL,BTM036,3.0,PALAZZO,XXL,RED
BTM036-PP-XXXL,BTM036,6.0,PALAZZO,XXXL,RED
BTM037-PP-L,BTM037,2.0,PALAZZO,L,TEAL
BTM037-PP-M,BTM037,4.0,PALAZZO,M,TEAL
BTM037-PP-S,BTM037,7.0,PALAZZO,S,TEAL
BTM037-PP-XL,BTM037,3.0,PALAZZO,XL,TEAL
BTM037-PP-XS,BTM037,21.0,PALAZZO,XS,TEAL
BTM037-PP-XXL,BTM037,3.0,PALAZZO,XXL,TEAL
BTM037-PP-XXXL,BTM037,3.0,PALAZZO,XXXL,TEAL
BTM038-PP-L,BTM038,3.0,PALAZZO,L,BLACK
BTM038-PP-M,BTM038,2.0,PALAZZO,M,BLACK
BTM038-PP-S,BTM038,6.0,PALAZZO,S,BLACK
BTM038-PP-XL,BTM038,2.0,PALAZZO,XL,BLACK
BTM038-PP-XS,BTM038,30.0,PALAZZO,XS,BLACK
BTM038-PP-XXL,BTM038,3.0,PALAZZO,XXL,BLACK
BTM038-PP-XXXL,BTM038,1.0,PALAZZO,XXXL,BLACK
BTM039-PP-L,BTM039,2.0,PALAZZO,L,WHITE
BTM039-PP-M,BTM039,2.0,PALAZZO,M,WHITE
BTM039-PP-S,BTM039,4.0,PALAZZO,S,WHITE
BTM039-PP-XL,BTM039,2.0,PALAZZO,XL,WHITE
BTM039-PP-XS,BTM039,11.0,PALAZZO,XS,WHITE
BTM039-PP-XXL,BTM039,2.0,PALAZZO,XXL,WHITE
BTM039-PP-XXXL,BTM039,4.0,PALAZZO,XXXL,WHITE
BTM040-PP-L,BTM040,2.0,PALAZZO,L,BROWN
BTM040-PP-M,BTM040,4.0,PALAZZO,M,BROWN
BTM040-PP-S,BTM040,36.0,PALAZZO,S,BROWN
BTM040-PP-XL,BTM040,3.0,PALAZZO,XL,BROWN
BTM040-PP-XS,BTM040,35.0,PALAZZO,XS,BROWN
BTM040-PP-XXL,BTM040,4.0,PALAZZO,XXL,BROWN
BTM040-PP-XXXL,BTM040,2.0,PALAZZO,XXXL,BROWN
BTM041-PP-L,BTM041,6.0,PALAZZO,L,GREY
BTM041-PP-M,BTM041,5.0,PALAZZO,M,GREY
BTM041-PP-S,BTM041,51.0,PALAZZO,S,GREY
BTM041-PP-XL,BTM041,7.0,PALAZZO,XL,GREY
BTM041-PP-XS,BTM041,50.0,PALAZZO,XS,GREY
BTM041-PP-XXL,BTM041,7.0,PALAZZO,XXL,GREY
BTM041-PP-XXXL,BTM041,7.0,PALAZZO,XXXL,GREY
